molecule,strategy,framework,option,noise_scale,depth,cnot_count,n_operators,energy_error_mHa
H2(full),ADAPT-VQE(noise-realized),pennylane,A-novel,0.0,9,6,1,5.586748841324152e-07
H2(full),ADAPT-VQE(noise-realized),pennylane,A-novel,0.25,9,6,1,13.830933421431201
H2(full),ADAPT-VQE(noise-realized),pennylane,A-novel,0.5,0,0,0,20.4097785921841
H2(full),ADAPT-VQE(noise-realized),pennylane,A-novel,1.0,0,0,0,20.512528678497
H2(full),"ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,0.0,9,6,1,5.586748841324152e-07
H2(full),"ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,0.25,9,6,1,13.830933421431201
H2(full),"ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,0.5,0,0,0,20.4097785921841
H2(full),"ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,1.0,0,0,0,20.512528678497
H2(full),ADAPT-VQE(resource-aware),pennylane,A,0.0,9,6,1,5.586768825338595e-07
H2(full),ADAPT-VQE(resource-aware),pennylane,A,0.25,9,6,1,15.2622713505297
H2(full),ADAPT-VQE(resource-aware),pennylane,A,0.5,0,0,0,20.4097785921841
H2(full),ADAPT-VQE(resource-aware),pennylane,A,1.0,0,0,0,20.512528678497
H2(full),ADAPT-VQE(standard),qiskit,B,0.0,72,48,1,1.6197110319637884e-06
H2(full),ADAPT-VQE(standard),qiskit,B,0.25,72,48,1,89.10622964646241
H2(full),ADAPT-VQE(standard),qiskit,B,0.5,72,48,1,170.00102324926488
H2(full),ADAPT-VQE(standard),qiskit,B,1.0,72,48,1,310.26341740711274
H2(full),"ADAPT-VQE(standard,PL)",pennylane,A-baseline,0.0,9,6,1,5.586768825338595e-07
H2(full),"ADAPT-VQE(standard,PL)",pennylane,A-baseline,0.25,9,6,1,15.2622713505297
H2(full),"ADAPT-VQE(standard,PL)",pennylane,A-baseline,0.5,0,0,0,20.4097785921841
H2(full),"ADAPT-VQE(standard,PL)",pennylane,A-baseline,1.0,0,0,0,20.512528678497
H2(full),HEA(reps=2),qiskit,B,0.0,11,6,24,6.6811855765598
H2(full),HEA(reps=2),qiskit,B,0.25,11,6,24,15.2462035640352
H2(full),HEA(reps=2),qiskit,B,0.5,11,6,24,30.2945082844829
H2(full),HEA(reps=2),qiskit,B,1.0,11,6,24,57.8173577591787
H2(full),UCCSD,qiskit,B,0.0,82,56,3,1.1223750817634934e-06
H2(full),UCCSD,qiskit,B,0.25,82,56,3,99.2300752502775
H2(full),UCCSD,qiskit,B,0.5,82,56,3,188.4625802321186
H2(full),UCCSD,qiskit,B,1.0,82,56,3,341.0272357232319
"LiH(AS:2e,3o)",ADAPT-VQE(noise-realized),pennylane,A-novel,0.0,37,26,5,0.10061469735499999
"LiH(AS:2e,3o)",ADAPT-VQE(noise-realized),pennylane,A-novel,0.25,16,10,2,5.236948152153199
"LiH(AS:2e,3o)",ADAPT-VQE(noise-realized),pennylane,A-novel,0.5,16,10,2,9.2940958636713
"LiH(AS:2e,3o)",ADAPT-VQE(noise-realized),pennylane,A-novel,1.0,9,6,1,16.2795928938921
"LiH(AS:2e,3o)","ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,0.0,37,26,5,0.10061469735499999
"LiH(AS:2e,3o)","ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,0.25,16,10,2,5.236948152153199
"LiH(AS:2e,3o)","ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,0.5,16,10,2,9.2940958636713
"LiH(AS:2e,3o)","ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,1.0,9,6,1,16.2795928938921
"LiH(AS:2e,3o)",ADAPT-VQE(resource-aware),pennylane,A,0.0,49,34,7,0.008164285441480956
"LiH(AS:2e,3o)",ADAPT-VQE(resource-aware),pennylane,A,0.25,16,10,2,5.6950659008911
"LiH(AS:2e,3o)",ADAPT-VQE(resource-aware),pennylane,A,0.5,16,10,2,10.190759187865101
"LiH(AS:2e,3o)",ADAPT-VQE(resource-aware),pennylane,A,1.0,9,6,1,16.2795928938921
"LiH(AS:2e,3o)",ADAPT-VQE(standard),qiskit,B,0.0,187,132,4,0.0004111965470343648
"LiH(AS:2e,3o)",ADAPT-VQE(standard),qiskit,B,0.25,541,388,10,171.29776518100482
"LiH(AS:2e,3o)",ADAPT-VQE(standard),qiskit,B,0.5,432,308,8,237.2822952200284
"LiH(AS:2e,3o)",ADAPT-VQE(standard),qiskit,B,1.0,347,252,5,343.9803279879818
"LiH(AS:2e,3o)","ADAPT-VQE(standard,PL)",pennylane,A-baseline,0.0,50,36,7,0.01025209176397368
"LiH(AS:2e,3o)","ADAPT-VQE(standard,PL)",pennylane,A-baseline,0.25,16,10,2,5.6950659008911
"LiH(AS:2e,3o)","ADAPT-VQE(standard,PL)",pennylane,A-baseline,0.5,16,10,2,10.190759187865101
"LiH(AS:2e,3o)","ADAPT-VQE(standard,PL)",pennylane,A-baseline,1.0,9,6,1,16.2795928938921
"LiH(AS:2e,3o)",HEA(reps=2),qiskit,B,0.0,13,10,36,14.1734980084651
"LiH(AS:2e,3o)",HEA(reps=2),qiskit,B,0.25,13,10,36,16.882415759129103
"LiH(AS:2e,3o)",HEA(reps=2),qiskit,B,0.5,13,10,36,24.3485792377837
"LiH(AS:2e,3o)",HEA(reps=2),qiskit,B,1.0,13,10,36,28.491766454662198
"LiH(AS:2e,3o)",UCCSD,qiskit,B,0.0,363,272,8,0.0003126224488170237
"LiH(AS:2e,3o)",UCCSD,qiskit,B,0.25,363,272,8,124.6546035053342
"LiH(AS:2e,3o)",UCCSD,qiskit,B,0.5,363,272,8,219.1444710556283
"LiH(AS:2e,3o)",UCCSD,qiskit,B,1.0,363,272,8,347.5035263106356
