strategy,framework,option,molecule,n_qubits,noise_level,noise_scale,comparable,energy,energy_error,fci_energy,n_parameters,iterations,n_operators,depth,cnot_count,gate_count,converged,operators,lambda,n_restarts,runtime_s,timestamp,error
UCCSD,qiskit,B,H2(full),4,noiseless,0.0,True,-1.1373060348392747,1.1223715290498149e-09,-1.1373060359616463,3,42,3,82,56,122,,,,,1.59,2026-09-03T20:34:18,
HEA(reps=2),qiskit,B,H2(full),4,noiseless,0.0,True,-1.13062485038509,0.006681185576556281,-1.1373060359616463,24,1800,24,11,6,30,,,,3,58.35,2026-09-03T20:35:16,
ADAPT-VQE(standard),qiskit,B,H2(full),4,noiseless,0.0,True,-1.1373060343419388,1.6197074792501098e-09,-1.1373060359616463,1,1,1,72,48,96,,,,,1.3,2026-09-03T20:35:17,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,H2(full),4,noiseless,0.0,True,-1.137306035402973,5.586733298201807e-10,-1.1373060359616463,1,1,1,9,6,15,True,D:XXYX@0123[cx=6],,,5.69,2026-09-03T20:35:23,
ADAPT-VQE(resource-aware),pennylane,A,H2(full),4,noiseless,0.0,True,-1.137306035402973,5.586733298201807e-10,-1.1373060359616463,1,1,1,9,6,15,True,D:XXYX@0123[cx=6],1.0,,5.74,2026-09-03T20:35:29,
UCCSD,qiskit,B,H2(full),4,ManilaV2x0.25,0.25,True,-1.0380759607113723,0.09923007525027394,-1.1373060359616463,3,53,3,82,56,122,,,,,2.41,2026-09-03T20:35:31,
HEA(reps=2),qiskit,B,H2(full),4,ManilaV2x0.25,0.25,True,-1.1220598323976145,0.015246203564031724,-1.1373060359616463,24,1800,24,11,6,30,,,,3,70.54,2026-09-03T20:36:42,
ADAPT-VQE(standard),qiskit,B,H2(full),4,ManilaV2x0.25,0.25,True,-1.0481998063151874,0.08910622964645887,-1.1373060359616463,1,1,1,72,48,96,,,,,1.06,2026-09-03T20:36:43,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,H2(full),4,ManilaV2x0.25,0.25,True,-1.12204376461112,0.015262271350526158,-1.1373060359616463,1,1,1,9,6,15,True,D:YYYX@0123[cx=6],,,52.4,2026-09-03T20:37:35,
ADAPT-VQE(resource-aware),pennylane,A,H2(full),4,ManilaV2x0.25,0.25,True,-1.12204376461112,0.015262271350526158,-1.1373060359616463,1,1,1,9,6,15,True,D:YYYX@0123[cx=6],1.0,,53.16,2026-09-03T20:38:28,
UCCSD,qiskit,B,H2(full),4,ManilaV2x0.5,0.5,True,-0.9488434557295312,0.18846258023211504,-1.1373060359616463,3,50,3,82,56,122,,,,,2.28,2026-09-03T20:38:31,
