strategy,rule_key,framework,option,molecule,n_qubits,noise_level,noise_scale,comparable,fixed_k,energy,energy_error,energy_error_mHa,fci_energy,delta_vs_standard_mHa,n_parameters,iterations,n_operators,depth,cnot_count,gate_count,converged,operators,lambda,lambda_init,lambda_final,runtime_s,timestamp,error
"ADAPT-VQE(standard,PL)",standard,pennylane,A-baseline,"LiH(AS:2e,3o)",6,noiseless,0.0,True,6,-7.727071185524728,2.1832434633495268e-05,0.021832,-7.727093017959361,0.0,6,6,6,43,30,72,False,D:XXYX@0123[cx=6] S:YZX@012[cx=4] D:XXYX@0145[cx=6] D:YXYY@0145[cx=6] S:YZX@123[cx=4] S:XZY@012[cx=4],,,,462.32,2026-09-06T09:43:14,
ADAPT-VQE(resource-aware),resource_aware,pennylane,A,"LiH(AS:2e,3o)",6,noiseless,0.0,True,6,-7.727071185524728,2.1832434633495268e-05,0.021832,-7.727093017959361,0.0,6,6,6,43,30,72,False,D:XXYX@0123[cx=6] S:YZX@012[cx=4] D:XXYX@0145[cx=6] D:YXYY@0145[cx=6] S:YZX@123[cx=4] S:XZY@012[cx=4],1.0,1.0,1.0,471.04,2026-09-06T09:51:05,
ADAPT-VQE(noise-realized),noise_realized,pennylane,A-novel,"LiH(AS:2e,3o)",6,noiseless,0.0,True,6,-7.727060260527914,3.27574314473722e-05,0.032757,-7.727093017959361,0.010925,6,6,6,46,32,78,False,D:YYXY@0123[cx=6] S:XZY@012[cx=4] D:XXXY@0145[cx=6] D:YXXX@0145[cx=6] S:YZX@123[cx=4] D:XXYX@0123[cx=6],1.0,1.0,1.0,621.58,2026-09-06T10:01:27,
"ADAPT-VQE(noise-realized,adaptive-lam)",noise_realized_adaptive_lambda,pennylane,A-novel,"LiH(AS:2e,3o)",6,noiseless,0.0,True,6,-7.727060260527914,3.27574314473722e-05,0.032757,-7.727093017959361,0.010925,6,6,6,46,32,78,False,D:YYXY@0123[cx=6] S:XZY@012[cx=4] D:XXXY@0145[cx=6] D:YXXX@0145[cx=6] S:YZX@123[cx=4] D:XXYX@0123[cx=6],2.0318964714127525,1.0,2.0318964714127525,209.36,2026-09-06T10:04:56,
"ADAPT-VQE(standard,PL)",standard,pennylane,A-baseline,"LiH(AS:2e,3o)",6,ManilaV2x0.05,0.05,True,6,-7.723147091718421,0.003945926240939812,3.945926,-7.727093017959361,0.0,6,6,6,46,32,78,False,D:YYYX@0123[cx=6] S:YZX@123[cx=4] D:YYXY@0145[cx=6] D:YXXX@0145[cx=6] S:YZX@012[cx=4] D:YXXX@0123[cx=6],,,,141.72,2026-09-06T10:07:18,
ADAPT-VQE(resource-aware),resource_aware,pennylane,A,"LiH(AS:2e,3o)",6,ManilaV2x0.05,0.05,True,6,-7.723147091718421,0.003945926240939812,3.945926,-7.727093017959361,0.0,6,6,6,46,32,78,False,D:YYYX@0123[cx=6] S:YZX@123[cx=4] D:YYXY@0145[cx=6] D:YXXX@0145[cx=6] S:YZX@012[cx=4] D:YXXX@0123[cx=6],1.0,1.0,1.0,141.7,2026-09-06T10:09:39,
ADAPT-VQE(noise-realized),noise_realized,pennylane,A-novel,"LiH(AS:2e,3o)",6,ManilaV2x0.05,0.05,True,6,-7.723112844789437,0.003980173169924051,3.980173,-7.727093017959361,0.034247,6,6,6,46,32,78,False,D:YXYY@0123[cx=6] S:XZY@123[cx=4] D:YXXX@0145[cx=6] D:YYXY@0145[cx=6] S:YZX@012[cx=4] D:YYXY@0123[cx=6],1.0,1.0,1.0,662.29,2026-09-06T10:20:42,
"ADAPT-VQE(noise-realized,adaptive-lam)",noise_realized_adaptive_lambda,pennylane,A-novel,"LiH(AS:2e,3o)",6,ManilaV2x0.05,0.05,True,6,-7.723112844789437,0.003980173169924051,3.980173,-7.727093017959361,0.034247,6,6,6,46,32,78,False,D:YXYY@0123[cx=6] S:XZY@123[cx=4] D:YXXX@0145[cx=6] D:YYXY@0145[cx=6] S:YZX@012[cx=4] D:YYXY@0123[cx=6],8.0,1.0,8.0,344.44,2026-09-06T10:26:26,
"ADAPT-VQE(standard,PL)",standard,pennylane,A-baseline,"LiH(AS:2e,3o)",6,ManilaV2x0.1,0.1,True,6,-7.719304679692972,0.007788338266388806,7.788338,-7.727093017959361,0.0,6,6,6,46,32,78,False,D:YYYX@0123[cx=6] S:YZX@123[cx=4] D:YYXY@0145[cx=6] D:YXXX@0145[cx=6] S:YZX@012[cx=4] D:YXXX@0123[cx=6],,,,139.1,2026-09-06T10:28:45,
ADAPT-VQE(resource-aware),resource_aware,pennylane,A,"LiH(AS:2e,3o)",6,ManilaV2x0.1,0.1,True,6,-7.719304679692972,0.007788338266388806,7.788338,-7.727093017959361,0.0,6,6,6,46,32,78,False,D:YYYX@0123[cx=6] S:YZX@123[cx=4] D:YYXY@0145[cx=6] D:YXXX@0145[cx=6] S:YZX@012[cx=4] D:YXXX@0123[cx=6],1.0,1.0,1.0,137.07,2026-09-06T10:31:02,
