strategy,framework,option,molecule,n_qubits,noise_level,noise_scale,comparable,energy,energy_error,fci_energy,n_parameters,iterations,n_operators,depth,cnot_count,gate_count,converged,operators,lambda,lambda_init,lambda_final,n_restarts,runtime_s,timestamp,error
UCCSD,qiskit,B,H2(full),4,noiseless,0.0,True,-1.1373060348392747,1.1223750817634937e-09,-1.1373060359616498,3,42,3,82,56,122,,,,,,,0.25,2026-09-04T06:16:00,
HEA(reps=2),qiskit,B,H2(full),4,noiseless,0.0,True,-1.13062485038509,0.006681185576559834,-1.1373060359616498,24,1800,24,11,6,30,,,,,,3,8.36,2026-09-04T06:16:09,
ADAPT-VQE(standard),qiskit,B,H2(full),4,noiseless,0.0,True,-1.1373060343419388,1.6197110319637886e-09,-1.1373060359616498,1,1,1,72,48,96,,,,,,,0.13,2026-09-04T06:16:09,
"ADAPT-VQE(standard,PL)",pennylane,A-baseline,H2(full),4,noiseless,0.0,True,-1.137306035402973,5.586768825338595e-10,-1.1373060359616498,1,1,1,9,6,15,True,D:XXYX@0123[cx=6],,,,,0.79,2026-09-04T06:16:10,
ADAPT-VQE(resource-aware),pennylane,A,H2(full),4,noiseless,0.0,True,-1.137306035402973,5.586768825338595e-10,-1.1373060359616498,1,1,1,9,6,15,True,D:XXYX@0123[cx=6],1.0,1.0,1.0,,0.87,2026-09-04T06:16:10,
ADAPT-VQE(noise-realized),pennylane,A-novel,H2(full),4,noiseless,0.0,True,-1.137306035402975,5.586748841324152e-10,-1.1373060359616498,1,1,1,9,6,15,True,D:YYXY@0123[cx=6],1.0,1.0,1.0,,1.65,2026-09-04T06:16:12,
"ADAPT-VQE(noise-realized,adaptive-lam)",pennylane,A-novel,H2(full),4,noiseless,0.0,True,-1.137306035402975,5.586748841324152e-10,-1.1373060359616498,1,1,1,9,6,15,True,D:YYXY@0123[cx=6],0.4052341359812037,1.0,0.4052341359812037,,1.67,2026-09-04T06:16:14,
UCCSD,qiskit,B,H2(full),4,ManilaV2x0.25,0.25,True,-1.0380759607113723,0.0992300752502775,-1.1373060359616498,3,53,3,82,56,122,,,,,,,0.38,2026-09-04T06:16:14,
HEA(reps=2),qiskit,B,H2(full),4,ManilaV2x0.25,0.25,True,-1.1220598323976145,0.015246203564035277,-1.1373060359616498,24,1800,24,11,6,30,,,,,,3,10.64,2026-09-04T06:16:25,
ADAPT-VQE(standard),qiskit,B,H2(full),4,ManilaV2x0.25,0.25,True,-1.0481998063151874,0.08910622964646242,-1.1373060359616498,1,1,1,72,48,96,,,,,,,0.16,2026-09-04T06:16:25,
