molecule,strategy,framework,option,noise_scale,depth,cnot_count,n_operators,energy_error_mHa
H2(full),ADAPT-VQE(resource-aware),pennylane,A,0.0,9,6,1,5.586733298201807e-07
H2(full),ADAPT-VQE(resource-aware),pennylane,A,0.25,9,6,1,15.2622713505261
H2(full),ADAPT-VQE(resource-aware),pennylane,A,0.5,0,0,0,20.4097785921806
H2(full),ADAPT-VQE(resource-aware),pennylane,A,1.0,0,0,0,20.5125286784935
H2(full),ADAPT-VQE(standard),qiskit,B,0.0,72,48,1,1.6197074792501096e-06
H2(full),ADAPT-VQE(standard),qiskit,B,0.25,72,48,1,89.1062296464588
H2(full),ADAPT-VQE(standard),qiskit,B,0.5,72,48,1,170.0010232492613
H2(full),ADAPT-VQE(standard),qiskit,B,1.0,72,48,1,310.2634174071091
H2(full),"ADAPT-VQE(standard,PL)",pennylane,A-baseline,0.0,9,6,1,5.586733298201807e-07
H2(full),"ADAPT-VQE(standard,PL)",pennylane,A-baseline,0.25,9,6,1,15.2622713505261
H2(full),"ADAPT-VQE(standard,PL)",pennylane,A-baseline,0.5,0,0,0,20.4097785921806
H2(full),"ADAPT-VQE(standard,PL)",pennylane,A-baseline,1.0,0,0,0,20.5125286784935
H2(full),HEA(reps=2),qiskit,B,0.0,11,6,24,6.6811855765562
H2(full),HEA(reps=2),qiskit,B,0.25,11,6,24,15.246203564031699
H2(full),HEA(reps=2),qiskit,B,0.5,11,6,24,30.2945082844794
H2(full),HEA(reps=2),qiskit,B,1.0,11,6,24,57.817357759175096
H2(full),UCCSD,qiskit,B,0.0,82,56,3,1.1223715290498146e-06
H2(full),UCCSD,qiskit,B,0.25,82,56,3,99.2300752502739
H2(full),UCCSD,qiskit,B,0.5,82,56,3,188.46258023211502
H2(full),UCCSD,qiskit,B,1.0,82,56,3,341.0272357232283
"LiH(AS:2e,3o)",ADAPT-VQE(resource-aware),pennylane,A,0.0,50,34,7,0.0027943203884106538
"LiH(AS:2e,3o)",ADAPT-VQE(resource-aware),pennylane,A,0.25,16,10,2,5.6950659009498
"LiH(AS:2e,3o)",ADAPT-VQE(resource-aware),pennylane,A,0.5,16,10,2,10.1907591879237
"LiH(AS:2e,3o)",ADAPT-VQE(resource-aware),pennylane,A,1.0,9,6,1,16.2795928939507
"LiH(AS:2e,3o)",ADAPT-VQE(standard),qiskit,B,0.0,187,132,4,0.0004111966056541405
"LiH(AS:2e,3o)",ADAPT-VQE(standard),qiskit,B,0.25,541,388,10,171.2977651810634
"LiH(AS:2e,3o)",ADAPT-VQE(standard),qiskit,B,0.5,432,308,8,237.282295220087
"LiH(AS:2e,3o)",ADAPT-VQE(standard),qiskit,B,1.0,347,252,5,343.9803279880404
"LiH(AS:2e,3o)","ADAPT-VQE(standard,PL)",pennylane,A-baseline,0.0,60,42,8,0.003905026837891512
"LiH(AS:2e,3o)","ADAPT-VQE(standard,PL)",pennylane,A-baseline,0.25,16,10,2,5.6950659009498
"LiH(AS:2e,3o)","ADAPT-VQE(standard,PL)",pennylane,A-baseline,0.5,16,10,2,10.1907591879237
"LiH(AS:2e,3o)","ADAPT-VQE(standard,PL)",pennylane,A-baseline,1.0,9,6,1,16.2795928939507
"LiH(AS:2e,3o)",HEA(reps=2),qiskit,B,0.0,13,10,36,14.173498008523701
"LiH(AS:2e,3o)",HEA(reps=2),qiskit,B,0.25,13,10,36,16.8824157591878
"LiH(AS:2e,3o)",HEA(reps=2),qiskit,B,0.5,13,10,36,24.3485792378423
"LiH(AS:2e,3o)",HEA(reps=2),qiskit,B,1.0,13,10,36,28.4917664547208
"LiH(AS:2e,3o)",UCCSD,qiskit,B,0.0,363,272,8,0.0003126225074367994
"LiH(AS:2e,3o)",UCCSD,qiskit,B,0.25,363,272,8,124.6546035053928
"LiH(AS:2e,3o)",UCCSD,qiskit,B,0.5,363,272,8,219.1444710556869
"LiH(AS:2e,3o)",UCCSD,qiskit,B,1.0,363,272,8,347.5035263106942
